CustomerID,Name,Email,PhoneNumber,Address,PurchaseAmount,PurchaseDate,BookTitle
1,Shane Clarke,williamscynthia@example.com,(551)626-0650x4340,"9901 Laura Stream Suite 214, East Denise, HI 02249",276.66,7/7/2023,Church seem.
2,Scott Long,,(527)838-9348x8646,"544 Lewis Course, Melissaland, CT 65007",359.02,2/13/2023,Everything.
3,Reginald Willis,marshalllinda@example.com,001-801-543-5601x151,"PSC 3113, Box 9049, APO AE 80754",303.37,11/12/2023,Weight dinner since.
4,Erika Cooper,fishercalvin@example.com,932-654-7267,"58803 Gutierrez Via, West John, OK 94095",274.72,10/5/2023,Light professional.
5,Linda Day,collin73@example.net,506.880.7120,"0031 Russell Estate, Port Meganport, VT 33328",214.71,12/31/2023,Decide.
6,Morgan Powell,awall@example.org,826-869-5515x4582,"71864 Valdez Harbors, Khanville, FM 38314",324.72,1/13/2023,Them order.
7,James Cook,ryan98@example.org,(801)887-6282x92657,"3010 James Trafficway, Keithberg, CT 66789",221.61,4/9/2023,School spend interesting.
8,Stacy Pittman,scottnatalie@example.com,-4897,"39146 Michael Field Suite 309, East Olivia, IA 87090",446.43,5/14/2023,Wife Happiness
9,Malik Hall,wchase@example.net,+1-463-277-4142x5191,"0687 Kemp Meadow Apt. 289, Villaberg, OH 44786",482.01,10/4/2023,View yet.
10,David Moore,,(866)496-2822,"657 Jennifer Shores, South Randymouth, CA 66920",194.8,5/5/2023,Find our.
11,Sheila Smith,ohoward@example.com,+1-831-255-0583x0138,"01368 Kelly Causeway, East Johnhaven, IN 11810",396.9,6/9/2023,Child might.
12,Jonathan Nelson,andrewanderson@example.org,872.685.8230x526,,266.8,12/21/2023,Song often.
13,Rachel Santos,kimberly29@example.com,2174312242,"471 Joshua Glens Suite 324, Williamshire, NJ 19440",286.18,10/7/2023,Foot type history.
14,John Ramirez,amy97@example.org,+1-966-205-4396x60006,"7928 Cody Wall, Greeneland, VI 27945",463.17,1/20/2023,Speak deep.
15,Jeffrey Krueger,monica49@example.net,922-545-4787x3286,"978 Dunn Rest Apt. 589, Elizabethmouth, TX 76791",40.16,3/27/2023,Customer million.
16,Jessica Brooks,dennis59@example.org,(483)765-8204x3432,"055 Curtis Road Suite 245, Samanthaville, DE 74450",48.13,10/31/2023,Campaign still.
17,Christy Walker,steven57@example.net,,"80559 Penny Viaduct, New Danielland, NM 87298",15.01,9/20/2023,Morning leg whom.
18,Stephanie Conley,melissaschultz@example.org,3554115513,"05140 Velasquez Valley, North Keith, AL 19130",417.15,3/10/2023,Hour claim painting.
19,Paul Lee,,(931)699-3374x833,"7766 Jeffrey Groves, East Timothymouth, CT 44354",390.19,7/21/2023,Treat statement.
20,William Ross,sandranorman@example.net,001-735-972-0034x5841,"35640 Benjamin Trafficway, Hernandezstad, NY 58788",435.66,1/25/2023,Off traditional recognize.
21,Kevin Sutton,wbolton@example.net,328.871.0746x47344,"Unit 2783 Box 6310, DPO AP 28895",489.42,8/7/2023,Tv ability.
22,Kelli Williams,hthompson@example.org,899.769.7156x02216,"76964 Eric Ford, Amandaland, MD 16138",400.58,9/30/2023,Address.
23,Harold Brooks,gabriel56@example.com,6598062665,,233.43,8/15/2023,Black increase seek.
24,Kevin Burch,jason66@example.com,739-595-0917x557,"8645 Davis Mall, East Leeberg, MI 45226",391.36,5/31/2023,Right into.
25,Brandon Thompson,ekelly@example.net,,"61225 Tate Track Suite 991, North Johnville, NM 54706",63.55,5/6/2023,Born argue.
26,Charles Cohen,lbullock@example.net,(553)936-0088,"89717 Gina Hollow, New Tyler, NM 57766",321.76,1/29/2023,A work.
27,Matthew Manning,martineztaylor@example.org,(887)660-1182,"44813 Jennifer Ports, South Brian, NH 48396",75.96,10/12/2023,Lawyer deal family.
28,Dylan Brown,charles37@example.org,001-209-435-5752,"221 Derrick Well, Martinchester, NV 49671",472.61,4/24/2023,Point design.
29,Edward Carter,morrisanna@example.com,566.496.6123x390,"7581 Mitchell Spurs, Smithchester, MD 50006",263.31,12/24/2023,Special determine enjoy.
30,Malik Johnson,larsonjeanne@example.com,886-639-5707x3744,"4759 Livingston Ridge Suite 905, Lake Brittanyport, OH 43785",210.26,3/31/2023,Race they.
31,Joe Robles,mirandaweber@example.com,-10829,"194 Cruz Camp Suite 280, Port Reneeland, MO 14136",135.96,5/14/2023,Everyone per book.
32,Sarah Oconnor,russelltodd@example.com,,"7668 Daniel Manors Suite 118, Williamsborough, SC 51405",388.25,3/8/2023,Tax some after.
33,Cynthia Powell,tammy19@example.com,,"872 Dennis Turnpike, West Heather, ID 12388",230.79,7/23/2023,Against present owner manage.
34,Theodore Herrera,kelseyflowers@example.org,,,286.37,3/19/2023,Research.
35,Angela Henderson,ayaladuane@example.org,508-748-7018x4474,"002 Robert Inlet Suite 996, West Bryanmouth, ME 36758",14.3,7/4/2023,Property successful.
36,Clayton Hodge,joannabailey@example.org,(606)491-6217,"59397 Shepard Forest Apt. 769, Lake Andrew, MD 18204",310.73,9/19/2023,Draw.
37,Adam Rodriguez,morrissteven@example.com,(203)445-4316x45480,"558 Lori Village Suite 124, Meyersland, RI 33022",307.99,1/30/2023,Rest fish remember.
38,Michael Villanueva,xsullivan@example.org,347-650-5542x36533,"98665 Carolyn Tunnel Apt. 688, Ryanfort, NM 90736",310.38,4/2/2023,Partner professor group.
39,Jacob Nguyen,knelson@example.net,001-458-226-5037x970,"37741 Campbell Shore Apt. 767, North Jeffrey, NV 40443",472.16,11/14/2023,Apply carry.
40,Anthony Carr,jennifersmith@example.org,3593918103,,342.5,6/4/2023,Send toward.
41,Mark Lindsey,guerrerolaura@example.org,,"08860 Michael Trace Suite 971, New Davidview, MI 08346",182.96,10/12/2023,None establish.
42,Kelly Knapp,rburton@example.com,(963)238-3454x9459,"8265 Alexander Squares, Port Troyborough, AL 01122",221.33,4/8/2023,Theory stuff yard.
43,David Roberts,rollinsashley@example.com,,"39729 Arthur Square, North Stephen, LA 39626",350.33,4/16/2023,Through three.
44,Brian Smith,shepherdstacy@example.net,665.402.9717x759,"2985 Frank Heights Suite 958, West Ryan, AS 45283",34.81,6/25/2023,Or health appear.
45,Yvonne Mendoza,katiemcgee@example.com,9037306376,"9545 Ashley Brooks Suite 070, Lake Reginaberg, AL 90866",335.05,4/20/2023,Student music such.
46,Cory Perez,,+1-227-967-5252x85472,"43453 Sara Centers, Sarahside, OK 30416",336.97,9/18/2023,Hold lose activity.
47,Ronnie Manning,kelleybrandon@example.com,417-631-8984x1881,"Unit 8546 Box 3618, DPO AA 99269",109.14,9/25/2023,Glass around.
48,Jeremy Lutz,zhangsara@example.net,001-542-902-0749x496,"1446 Kimberly Road, South Juanbury, PA 44262",68.82,6/29/2023,Yet.
49,Laurie Evans,amy87@example.net,(741)694-2246,"7708 Jones Port Suite 824, South Patricia, GU 77152",161.14,4/10/2023,System month.
50,John Berry,,(593)926-7934x04041,"745 Jones Neck Apt. 344, Abigailton, AS 13093",185.04,10/10/2023,Son.
51,Stephen Williams,bridgetcaldwell@example.org,758.667.8499x30110,"658 Jennifer Common, Port Jamesberg, OH 46009",287.25,1/16/2023,That data among effect.
52,Breanna Gomez,jimenezbonnie@example.net,+1-239-603-5274x87036,"53598 Durham Summit Suite 851, Kimberlyshire, UT 77814",222.11,8/9/2023,Participant look.
53,Joshua Frye,justin91@example.net,696-859-6185,"366 Jason Plaza Suite 298, Lake Denise, NJ 90201",494.25,12/29/2023,Southern this.
